id,title,type,release_year,age_certification,runtime,imdb_score,imdb_votes
tm203186,Children of Shatila,MOVIE,1999,,50,8.2,74
tm256669,Gumrah,MOVIE,1993,,149,6.1,784
tm117840,The Emigrant,MOVIE,1994,,129,6.5,998
tm334788,Yodha,MOVIE,1991,,142,4.5,198
tm110160,Avvai Shanmugi,MOVIE,1996,PG-13,160,7.9,2528
tm192301,Minsara Kanavu,MOVIE,1997,G,145,6.7,1212
tm110766,Chronicle of a Disappearance,MOVIE,1996,,88,6.9,718
tm118256,Yaar Gaddar,MOVIE,1994,,147,3.6,142
tm64729,Sinbad: Nothin' but the Funk,MOVIE,1998,,55,6.2,65
tm314602,Dushmani,MOVIE,1995,,156,5,248
tm25389,Fiza,MOVIE,2000,,170,6,4168
tm42397,Hello Brother,MOVIE,1999,,131,4.6,4230
tm449775,Shikari,MOVIE,1991,,162,5.9,66
ts4,Breaking Bad,SHOW,2008,TV-MA,48,9.5,1727694
ts9,The Walking Dead,SHOW,2010,TV-MA,46,8.2,945125
ts26091,The Staircase,SHOW,2004,TV-MA,49,7.8,21531
ts11,Downton Abbey,SHOW,2010,TV-14,58,8.7,197744
ts21469,Grey's Anatomy,SHOW,2005,TV-14,49,7.6,293618
ts288536,The Great British Baking Show,SHOW,2010,TV-PG,57,8.6,9564
ts6495,Criminal Minds,SHOW,2005,TV-14,44,8.1,189191
ts22337,NCIS,SHOW,2003,TV-14,44,7.8,141049
ts8308,Community,SHOW,2009,TV-PG,23,8.5,252564
ts22011,Heartland,SHOW,2007,TV-PG,44,8.4,15743
ts21465,Supernatural,SHOW,2005,TV-14,45,8.5,428639
tm33545,Forgetting Sarah Marshall,MOVIE,2008,R,111,7.1,280121
tm172683,War of the Worlds,MOVIE,2005,PG-13,117,6.5,439027
ts17156,Arrested Development,SHOW,2003,TV-MA,28,8.7,297552
ts20573,The IT Crowd,SHOW,2006,TV-14,25,8.5,147409
ts12724,30 Rock,SHOW,2006,TV-14,25,8.3,121514
ts3371,Avatar: The Last Airbender,SHOW,2005,TV-Y7,24,9.3,297336
tm92641,Inception,MOVIE,2010,PG-13,148,8.8,2268288
tm102740,The Other Guys,MOVIE,2010,,107,6.6,263019
tm87484,How to Train Your Dragon,MOVIE,2010,PG,98,8.1,719717
ts20604,Friday Night Lights,SHOW,2006,TV-14,43,8.7,64449
tm39030,Casino Royale,MOVIE,2006,,139,8,644336
tm78592,Michael Clayton,MOVIE,2007,R,120,7.2,163878
ts21511,My Little Pony: Friendship Is Magic,SHOW,2010,TV-Y7,22,7.6,20708
ts19036,The Fairly OddParents,SHOW,2001,TV-Y7,24,7.2,38046
tm116324,Jackass: The Movie,MOVIE,2002,R,88,6.6,92305
ts32186,Sonic X,SHOW,2003,TV-Y7,21,6.1,4577
ts11313,DEATH NOTE,SHOW,2006,TV-14,24,9,302147
tm34310,Zoolander,MOVIE,2001,PG-13,90,6.5,260975
ts21247,The Vampire Diaries,SHOW,2009,TV-14,42,7.7,310776
tm160815,Charlie and the Chocolate Factory,MOVIE,2005,PG,106,6.6,465995
tm78671,Cleaner,MOVIE,2007,R,88,6.1,41052
tm89036,Harold & Kumar Go to White Castle,MOVIE,2004,R,88,7,193053
tm86803,The Social Network,MOVIE,2010,PG-13,121,7.8,681286
tm105329,Road to Perdition,MOVIE,2002,R,117,7.7,263212
ts20305,Naruto,SHOW,2002,TV-PG,23,8.4,93980
tm35463,Blow,MOVIE,2001,R,124,7.5,255099
tm84371,Shooter,MOVIE,2007,R,124,7.2,329417
tm139658,Big Fish,MOVIE,2003,PG-13,125,8,435503
tm79442,The Bourne Ultimatum,MOVIE,2007,PG-13,115,8,627009
tm131038,Public Enemies,MOVIE,2009,R,143,7,297525
ts2230,America's Next Top Model,SHOW,2003,TV-14,44,5.6,17843
tm154187,Sherlock Holmes,MOVIE,2009,PG-13,129,7.6,620154
tm133767,Love Actually,MOVIE,2003,R,139,7.6,474176
tm88738,Closer,MOVIE,2004,R,94,7.2,215678
ts17942,Chappelle's Show,SHOW,2003,TV-14,21,8.8,62140
tm148270,Something's Gotta Give,MOVIE,2003,PG-13,128,6.7,120400
tm93055,Grown Ups,MOVIE,2010,PG-13,102,5.9,247229
tm133374,The Blind Side,MOVIE,2009,PG-13,129,7.6,323939
tm26897,Quantum of Solace,MOVIE,2008,PG-13,106,6.6,441023
tm109304,The Ring,MOVIE,2002,PG-13,111,7.1,341888
ts22267,Trailer Park Boys,SHOW,2001,TV-MA,25,8.6,41791
tm76066,Into the Wild,MOVIE,2007,R,140,8.1,611379
tm90190,True Grit,MOVIE,2010,PG-13,110,7.6,333378
tm29737,Rambo,MOVIE,2008,R,92,7,228799
tm84906,Stardust,MOVIE,2007,PG-13,122,7.6,269043
ts6644,Borgen,SHOW,2010,TV-MA,58,8.5,23523
tm142086,The Last Samurai,MOVIE,2003,R,154,7.8,429097
ts22018,iCarly,SHOW,2007,TV-G,26,6.7,38281
ts30311,Victorious,SHOW,2010,TV-G,25,6.9,24224
tm95252,The Book of Eli,MOVIE,2010,R,118,6.8,312538
tm136808,Identity,MOVIE,2003,R,90,7.3,240433
ts21197,Merlin,SHOW,2008,TV-PG,44,7.9,80138
tm109137,Shrek Forever After,MOVIE,2010,PG,93,6.3,200354
tm84613,Hairspray,MOVIE,2007,PG,117,6.7,128190
tm173551,Corpse Bride,MOVIE,2005,PG,77,7.3,265023
tm94606,Let Me In,MOVIE,2010,R,116,7.1,120208
tm136308,Monster,MOVIE,2003,R,110,7.3,149218
tm82985,Without a Paddle,MOVIE,2004,PG-13,95,5.8,47049
tm145593,Once Upon a Time in Mexico,MOVIE,2003,R,102,6.3,160449
tm150260,Cloudy with a Chance of Meatballs,MOVIE,2009,PG,90,6.9,226225
ts30313,Offspring,SHOW,2010,,44,8.3,4764
tm119111,Blade II,MOVIE,2002,R,117,6.7,214461
tm130647,Chloe,MOVIE,2009,R,99,6.3,72916
tm32919,Blood Diamond,MOVIE,2006,R,143,8,536858
tm23935,The Lake House,MOVIE,2006,PG,105,6.8,148043
tm137143,Terminator 3: Rise of the Machines,MOVIE,2003,R,109,6.3,393998
tm28905,Beerfest,MOVIE,2006,R,110,6.2,67748
tm44486,Heist,MOVIE,2001,R,107,6.5,36361
tm39487,Catch and Release,MOVIE,2006,PG-13,111,5.9,26157
tm169949,Just Like Heaven,MOVIE,2005,PG-13,95,6.7,106755
ts35155,Gurren Lagann,SHOW,2007,TV-14,24,8.3,17024
